TeamId,TeamName,SubmissionDate,Score
1451024,"Aditya Soni","2018-03-07 19:16:42",0.99088
1451850,TetyanaYatsenko,"2018-03-07 21:18:10",0.99088
1451327,w_________g,"2018-03-08 00:19:24",0.99088
1454006,"Data Craze","2018-03-08 06:46:51",0.99427
1454006,"Data Craze","2018-03-08 06:51:12",0.99140
1454006,"Data Craze","2018-03-08 06:54:00",0.99088
1454164,"Tony Y.","2018-03-08 07:15:53",0.99088
1455319,"Konstantin Maksimov","2018-03-08 12:01:25",0.99088
1455339,"Arunkumar Ramanan","2018-03-08 12:09:49",0.99088
1456694,Technitos,"2018-03-08 23:13:05",0.99088
1458220,Aldrin,"2018-03-09 04:28:07",0.99088
1458499,"Tahir Hashmi","2018-03-09 06:45:16",0.99088
1458584,minghigh,"2018-03-09 06:57:01",0.99088
1457813,Mr.smith,"2018-03-09 07:23:32",0.99088
1458341,ShengKai,"2018-03-09 07:27:59",0.99088
1458855,dsq_17,"2018-03-09 08:28:51",0.99088
1457790,Towan,"2018-03-09 09:11:29",0.99088
1460030,"Igor Zharikov","2018-03-09 15:06:12",0.99088
1462792,TianxiangPan,"2018-03-10 11:34:57",0.99088
1463192,HristoVrigazov,"2018-03-10 14:10:03",0.99088
1451327,w_________g,"2018-03-10 16:42:23",0.97317
1453862,the1owl,"2018-03-10 20:38:58",1.00000
1453862,the1owl,"2018-03-10 20:48:32",0.99296
1453972,"Mathurin Aché","2018-03-11 11:20:55",0.99088
1457325,Poddiachyi,"2018-03-11 14:07:12",0.99088
1467268,"Patrick DeKelly","2018-03-11 19:13:52",0.99088
1466074,"Aloisio Dourado","2018-03-12 02:14:53",0.98776
1466074,"Aloisio Dourado","2018-03-12 02:31:44",0.98125
1466074,"Aloisio Dourado","2018-03-12 02:49:45",0.97968
1466074,"Aloisio Dourado","2018-03-12 03:58:40",0.96718
1466074,"Aloisio Dourado","2018-03-12 05:03:08",0.95937
1468827,toshiki,"2018-03-12 06:31:31",0.99088
1469391,brucelee,"2018-03-12 09:53:19",0.99322
